"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"0039","Francis, Jane","SCS2","NERC-BAS Director-1022936","Directorate","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","NERC","01793 444000","communications@ukri.org","0129","22969409","1.00","105000","109999","","Operational Delivery Profession","East of England","","1"
"0040","N/A","SCS1","STFC-Executive Director National Labs, Science and Technologies-1080746","National Laboratories","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0115","59185","1.00","100000","104999","","Operational Delivery Profession","South East","","1"
"0041","Gemmill, Paul","SCS2","UKRI-Programme Director-1087806","Operations Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0005","0","0.70","100000","104999","","Operational Delivery Profession","South West","","1"
"0042","N/A","SCS1","STFC-Director Business Development ISIC-1055929","Campus Centres","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0118","378344","1.00","90000","94999","","Operational Delivery Profession","South East","","1"
"0043","N/A","SCS1","STFC-Head of Digital Solutions-1076571","Digital Infrastructure","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0040","2304506","1.00","85000","89999","","Digital, Data and Technology Professions","South East","","1"
"0044","N/A","SCS1","EPSRC-Executive Chair-1090424","Executive Chair and Deputy Executive Chairs","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","EPSRC","01793 444000","communications@ukri.org","0001","7743350","0.80","140000","144999","","Operational Delivery Profession","South West","","1"
"0045","Goedert, Michel","SCS2","MRC-Scientific Programme Leader-1049911","Neurobiology","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","MRC","01793 444000","communications@ukri.org","0053","191439","1.00","115000","119999","","Operational Delivery Profession","East of England","","1"
"0046","N/A","SCS1","Challenge Director - Digital Security by Design","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0006","268297","0.80","125000","129999","","Operational Delivery Profession","Unknown","","1"
"0047","N/A","SCS1","Challenge Director - Medicines Manufacturing","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0131","127000","0.60","135000","139999","","Operational Delivery Profession","Scotland","","1"
"0048","N/A","SCS1","ESRC-Director-1078984","Executive Chair and Directors","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","ESRC","01793 444000","communications@ukri.org","0087","1927946","1.00","90000","94999","","Operational Delivery Profession","South West","","1"
"0049","N/A","SCS1","STFC-Director Scientific Computing-1078802","Scientific Computing","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0040","8892029","1.00","85000","89999","","Digital, Data and Technology Professions","South East","","1"
"0050","N/A","SCS1","NERC-BGS Director-1083619","Executive","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","NERC","01793 444000","communications@ukri.org","0129","6364431","1.00","120000","124999","","Operational Delivery Profession","East Midlands","","1"
"0051","Harcourt, Edward","SCS2","AHRC-Director-1084040","Senior Management Team","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","AHRC","01793 444000","communications@ukri.org","0110","0","0.80","100000","104999","","Operational Delivery Profession","South West","","1"
"0052","N/A","SCS1","Challenge Director - Faraday Challenge","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0131","444553","1.00","145000","149999","","Operational Delivery Profession","South West","","1"
"0053","Hastings, Michael","SCS2","MRC-Scientific Programme Leader-1067757","Neurobiology","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","MRC","01793 444000","communications@ukri.org","0069","3166391","1.00","115000","119999","","Operational Delivery Profession","East of England","","1"
"0054","N/A","SCS1","Challenge Director","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0131","427130","1.00","115000","119999","","Operational Delivery Profession","South West","","1"
"0055","N/A","SCS1","Director - Health and Life Sciences","Chief Business Officer","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0034","1028725","1.00","95000","99999","","Operational Delivery Profession","Unknown","","1"
"0056","Hegde, Ramanujan","SCS2","MRC-Scientific Programme Leader-1051135","Cell Biology","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","MRC","01793 444000","communications@ukri.org","0069","1361748","1.00","115000","119999","","Government Science and Engineering Profession","East of England","","1"
"0057","Henderson, Richard","SCS2","MRC-Scientific Programme Leader-1050096","Structural Studies","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","MRC","01793 444000","communications@ukri.org","0004","87308","0.07","150000","154999","","Operational Delivery Profession","East of England","","1"
"0058","N/A","SCS1","STFC-Chief Data Scientist-1076558","Scientific Computing","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0040","0","0.41","85000","89999","","Digital, Data and Technology Professions","South East","","1"
"0059","N/A","SCS1","Challenge Director","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0131","307566","0.60","145000","149999","","Operational Delivery Profession","South West","","1"
"0060","N/A","SCS1","Director of AI & Data Economy","Chief Business Officer","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0034","762461","1.00","95000","99999","","Operational Delivery Profession","Unknown","","1"
"0061","N/A","SCS1","UKRI-Deputy Director of Financial Planning and Analysis-1088549","CFO Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0035","985076","1.00","90000","94999","","Government Finance Profession","London","","1"
"0062","N/A","SCS1","STFC-Director of Hartree Centre-1073475","Hartree Centre","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0040","4117925","1.00","85000","89999","","Operational Delivery Profession","North West","","1"
"0063","N/A","SCS1","RE-Associate Director of Insight and Engagement-1078908","Insight and Engagement","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","RE","01793 444000","communications@ukri.org","0114","0","1.00","N/A","N/A","","Operational Delivery Profession","South West","","1"
"0064","Kissack, Emma","SCS2","UKRI-Executive Director Strategy-1086125","Executive Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0001","228524","0.65","120000","124999","","Operational Delivery Profession","London","","1"
"0065","N/A","SCS1","Interim Challenge Director - Quantum Technologies","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0006","0","1.00","0","0","","Operational Delivery Profession","London","","1"
"0066","N/A","SCS1","NERC-BGS Chief Scientist-1085601","Environmental Change, Adaptation and Resilience","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","NERC","01793 444000","communications@ukri.org","0050","3526595","1.00","85000","89999","","Operational Delivery Profession","East Midlands","","1"
"0067","Lewis, Karen","SCS2","BBSRC-Executive Director, Capability and Innovation-1085016","Capability and Innovation","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","BBSRC","01793 444000","communications@ukri.org","0125","2261400","1.00","90000","94999","","Operational Delivery Profession","South West","","1"
"0068","N/A","SCS1","Challenge Director - Industrial Decarbonisation","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0006","247402","1.00","125000","129999","","Operational Delivery Profession","Unknown","","1"
"0069","Lowe, Jan","SCS2","MRC-Science Director-1077402","Structural Studies","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","MRC","01793 444000","communications@ukri.org","0124","5908866","1.00","155000","159999","","Operational Delivery Profession","East of England","","1"
"0071","N/A","SCS1","Challenge Director - Healthy Ageing","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0131","413715","1.00","140000","144999","","Operational Delivery Profession","South West","","1"
"0072","N/A","SCS1","UKRI-Strategic Finance Business Partnering Lead-1083825","CFO Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0130","0","1.00","85000","89999","","Corporate Finance Profession","South West","","1"
"0073","N/A","SCS1","Director - Innovation Policy","Chief Technology Officer","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0107","1228558","0.80","95000","99999","","Policy Profession","Unknown","","1"
"0074","N/A","SCS1","NERC-BGS Director of Operations-1086709","Executive","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","NERC","01793 444000","communications@ukri.org","0050","2325210","1.00","85000","89999","","Operational Delivery Profession","East Midlands","","1"
"0075","N/A","SCS1","Chief Investment Officer","Executive","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0081","1260186","1.00","140000","144999","","Operational Delivery Profession","Unknown","","1"
"0076","McKenzie, Andrew","SCS2","MRC-Scientific Programme Leader-1049943","PNAC","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","MRC","01793 444000","communications@ukri.org","0069","3518369","1.00","115000","119999","","Operational Delivery Profession","East of England","","1"
"0077","N/A","SCS1","Challenge Director","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0006","256658","1.00","140000","144999","","Operational Delivery Profession","London","","1"
"0078","N/A","SCS1","NERC-HO Chief Operating Officer-1085104","Corporate Services","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","NERC","01793 444000","communications@ukri.org","0129","1112729","0.81","90000","94999","","Operational Delivery Profession","South West","","1"
"0079","N/A","SCS1","Director of Clean Growth","Chief Business Officer","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0034","1665982","1.00","95000","99999","","Operational Delivery Profession","Unknown","","1"
"0080","N/A","SCS1","UKRI-Deputy Director Communications and Engagement-1077097","Comms & Public Engagement","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0084","2268198","1.00","85000","89999","","Government Communication Service","South West","","1"
"0081","Indro Mukerjee","SCS1","Chief Executive Officer","Executive","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0001","37338","1.00","180000","184999","","Operational Delivery Profession","South West","","1"
"0082","Munro, Sean","SCS2","MRC-Scientific Programme Leader-1049805","Cell Biology","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","MRC","01793 444000","communications@ukri.org","0069","1304983","1.00","115000","119999","","Government Science and Engineering Profession","East of England","","1"
"0083","N/A","SCS1","STFC-Director RAL Space-6000407","RAL Space","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0088","13710889","1.00","90000","94999","","Operational Delivery Profession","South East","","1"
"0084","N/A","SCS1","UKRI-Director of External Relations, Comms and Public Engagement-1079284","Comms & Public Engagement","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0113","3624357","1.00","120000","124999","","Government Communication Service","London","","1"
"0085","N/A","SCS1","STFC-Director of PPD-1088998","Particle Physics","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0040","3121053","1.00","85000","89999","","Operational Delivery Profession","South East","","1"
"0086","N/A","SCS1","STFC-Director of Technology-1088255","Technology","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0040","10951182","1.00","85000","89999","","Operational Delivery Profession","South East","","1"
"0087","N/A","SCS1","ESRC-Director-1078984","Executive Chair and Directors","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","ESRC","01793 444000","communications@ukri.org","0001","5814803","0.96","120000","124999","","Operational Delivery Profession","South West","","1"
"0088","N/A","SCS1","STFC-Executive Director National Laboratories-1053815","National Laboratories","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0115","72176","1.00","150000","154999","","Operational Delivery Profession","South East","","1"
"0089","Perkins, Sarah","SCS2","BBSRC-Executive Director, Policy, Strategy and Evidence-1085052","Strategic Planning, Evidence and Engagement","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","BBSRC","01793 444000","communications@ukri.org","0125","0","1.00","95000","99999","","Operational Delivery Profession","South West","","1"
"0090","Peters, Siobhan","SCS2","UKRI-Chief Finance Officer-1087831","CFO Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0001","754137","1.00","155000","159999","","Government Finance Profession","South West","","1"
"0091","N/A","SCS1","UKRI-Head of Strategic Finance Business Partnering-1083824","CFO Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0090","1359724","1.00","100000","104999","","Government Finance Profession","South West","","1"
"0092","Poll, Bill","SCS2","BBSRC-Chief Operating Officer-1085038","Operations and Resourcing","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","BBSRC","01793 444000","communications@ukri.org","0125","481176","1.00","85000","89999","","Operational Delivery Profession","South West","","1"
"0093","N/A","SCS1","BBSRC-Prog Director, Strategic Priority Fund Food Systems Prog-1085027","Executive Chair Office","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","BBSRC","01793 444000","communications@ukri.org","0125","0","0.60","125000","129999","","Operational Delivery Profession","South West","","1"
"0094","N/A","SCS1","UKRI-Deputy Director-1086181","Strategy, Analysis and Performance Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0064","0","1.00","90000","94999","","Operational Delivery Profession","South West","","1"
"0096","Ramakrishnan, Venki","SCS2","MRC-Scientific Programme Leader-1050108","Structural Studies","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","MRC","01793 444000","communications@ukri.org","0004","211702","1.00","140000","144999","","Operational Delivery Profession","East of England","","1"
"0097","N/A","SCS1","NERC-BGS Chief Scientist-1085734","Multihazards and Resilience","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","NERC","01793 444000","communications@ukri.org","0050","3335910","1.00","85000","89999","","Operational Delivery Profession","Scotland","","1"
"0098","N/A","SCS1","UKRI-Project Lead Senior Appointments-1090199","Human Resources Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0029","82633","1.00","80000","84999","","Human Resources Profession","London","","1"
"0099","N/A","SCS1","UKRI-Commercial Director-1084732","CFO Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0090","1620483","1.00","90000","94999","","Government Finance Profession","South East","","1"
"0100","Robinson, Vicky","SCS2","MRC-Science Director-1050767","Science Programme","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","MRC","01793 444000","communications@ukri.org","0032","1590978","1.00","120000","124999","","Operational Delivery Profession","London","","1"
"0101","N/A","SCS1","UKRI-Investment Strategy Deputy Director-1086131","Strategy, Analysis and Performance Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0106","1174239","1.00","100000","104999","","Operational Delivery Profession","London","","1"
"0102","N/A","SCS1","NERC-BGS Chief Digital Officer-1085467","Digital","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","NERC","01793 444000","communications@ukri.org","0050","4581347","1.00","85000","89999","","Digital, Data and Technology Professions","East Midlands","","1"
"0103","N/A","SCS1","UKRI-Strategic Finance Business Partnering Lead-1083825","CFO Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0035","546008","1.00","90000","94999","","Corporate Finance Profession","South West","","1"
"0104","N/A","SCS1","UKRI-Deputy Director-1088347","Strategy, Analysis and Performance Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0064","1120921","1.00","85000","89999","","Operational Delivery Profession","London","","1"
"0105","Scheres, Sjors","SCS2","MRC-Scientific Programme Leader-1050105","Structural Studies","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","MRC","01793 444000","communications@ukri.org","0069","2006685","1.00","115000","119999","","Operational Delivery Profession","East of England","","1"
"0106","N/A","SCS1","UKRI-Director of Investment Strategy and System Insight-1091700","Executive Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0064","0","1.00","95000","99999","","Operational Delivery Profession","London","","1"
"0107","N/A","SCS1","Chief of Staff - Innovate UK","Executive","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0081","1217430","1.00","100000","104999","","Operational Delivery Profession","Unknown","","1"
"0108","N/A","SCS1","NERC-BGS Lyell Director-1081063","Executive","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","NERC","01793 444000","communications@ukri.org","0050","307553","1.00","90000","94999","","Operational Delivery Profession","Scotland","","1"
"0109","N/A","SCS1","Chief Operating Officer","Executive","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0081","8010620","1.00","100000","104999","","Operational Delivery Profession","South West","","1"
